Fan_hours,Refrigerator_hours,AirConditioner_hours,Television_hours,Monitor_hours,MotorPump_hours,Months,City,Company,MonthlyHours,TariffRate,ElectricityBill
16,23.0,2.0,13.0,1.0,0,1,Hyderabad,Tata Power Company Ltd.,508,8.4,4267.2
8,19.0,0.0,16.0,1.0,0,1,Hyderabad,NHPC,508,8.4,4267.2
23,22.0,3.0,11.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,503,8.4,4225.2
6,21.0,2.0,4.0,1.0,0,1,Hyderabad,L&T Transmission & Distribution,503,8.4,4225.2
9,18.0,2.0,10.0,7.0,0,1,Hyderabad,Orient Green,444,8.4,3729.6000000000000
5,20.0,3.0,7.0,1.0,0,1,Hyderabad,TransRail Lighting,444,8.4,3729.6000000000000
12,23.0,3.0,10.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,444,8.4,3729.6000000000000
22,23.0,1.0,13.0,1.0,0,1,Hyderabad,GE T&D India Limited,691,8.4,5804.400000000000
11,23.0,2.0,21.0,1.0,0,1,Hyderabad,GE T&D India Limited,669,8.4,5619.6
20,23.0,1.0,9.0,12.0,0,1,Hyderabad,Adani Power Ltd.,712,8.4,5980.8
16,23.0,3.0,18.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,712,8.4,5980.8
18,23.0,3.0,6.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,599,8.4,5031.6
9,19.0,2.0,20.0,1.0,0,1,Hyderabad,SJVN Ltd.,659,8.4,5535.6
19,23.0,1.0,5.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,587,8.4,4930.8
8,17.0,0.0,19.0,1.0,0,1,Hyderabad,GE T&D India Limited,288,8.4,2419.2000000000000
11,22.0,1.0,11.0,1.0,0,1,Hyderabad,Guj Ind Power,576,8.4,4838.400000000000
13,23.0,1.0,8.0,12.0,0,1,Hyderabad,Power Grid Corp,702,8.4,5896.8
13,23.0,0.0,22.0,1.0,0,1,Hyderabad,NTPC Pvt. Ltd.,702,8.4,5896.8
22,23.0,2.0,5.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,581,8.4,4880.400000000000
21,22.0,0.0,13.0,1.0,0,1,Hyderabad,L&T Transmission & Distribution,518,8.4,4351.2
7,18.0,1.0,20.0,1.0,0,1,Hyderabad,NHPC,368,8.4,3091.2000000000000
16,23.0,1.0,8.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,368,8.4,3091.2000000000000
6,20.0,0.0,11.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",368,8.4,3091.2000000000000
13,23.0,0.0,7.0,1.0,0,1,Hyderabad,Guj Ind Power,329,8.4,2763.6
13,22.0,0.0,10.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",329,8.4,2763.6
7,19.0,2.0,3.0,7.0,0,1,Hyderabad,Jaiprakash Power,329,8.4,2763.6
6,18.0,1.0,14.0,1.0,0,1,Hyderabad,NLC India,329,8.4,2763.6
5,20.0,0.0,15.0,1.0,0,1,Hyderabad,Jyoti Structure,434,8.4,3645.6000000000000
8,17.0,1.0,12.0,7.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,371,8.4,3116.4
11,23.0,3.0,7.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,371,8.4,3116.4
6,18.0,1.0,21.0,7.0,0,1,Hyderabad,CESC,589,8.4,4947.6
18,22.0,0.0,21.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,708,8.4,5947.2
19,23.0,2.0,13.0,1.0,0,1,Hyderabad,CESC,588,8.4,4939.2
9,17.0,1.0,12.0,1.0,0,1,Hyderabad,Tata Power Company Ltd.,487,8.4,4090.8
9,18.0,2.0,10.0,1.0,0,1,Hyderabad,TransRail Lighting,531,8.4,4460.400000000000
9,21.0,2.0,3.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,531,8.4,4460.400000000000
13,23.0,3.0,18.0,12.0,0,1,Hyderabad,KEC International,694,8.4,5829.6
15,22.0,3.0,16.0,1.0,0,1,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,694,8.4,5829.6
15,23.0,3.0,16.0,1.0,0,1,Hyderabad,Jaiprakash Power,676,8.4,5678.400000000000
12,23.0,2.0,10.0,1.0,0,1,Hyderabad,NHPC,507,8.4,4258.8
7,20.0,2.0,6.0,1.0,0,1,Hyderabad,NHPC,256,8.4,2150.4
18,23.0,3.0,4.0,1.0,0,1,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,443,8.4,3721.2000000000000
9,18.0,3.0,6.0,7.0,0,1,Hyderabad,Torrent Power Ltd.,443,8.4,3721.2000000000000
20,22.0,2.0,15.0,1.0,0,1,Hyderabad,Jaiprakash Power,642,8.4,5392.8
21,22.0,1.0,18.0,1.0,0,1,Hyderabad,GE T&D India Limited,612,8.4,5140.8
14,22.0,0.0,6.0,1.0,0,1,Hyderabad,Reliance Power,523,8.4,4393.2
23,22.0,2.0,3.0,1.0,0,1,Hyderabad,Adani Power Ltd.,511,8.4,4292.400000000000
17,23.0,0.0,17.0,12.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,568,8.4,4771.2
12,22.0,2.0,17.0,1.0,0,1,Hyderabad,Jyoti Structure,568,8.4,4771.2
18,22.0,0.0,11.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,372,8.4,3124.8
5,21.0,0.0,9.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",372,8.4,3124.8
22,23.0,1.0,3.0,1.0,0,1,Hyderabad,Indowind Energy,372,8.4,3124.8
15,22.0,1.0,19.0,12.0,0,1,Hyderabad,Tata Power Company Ltd.,615,8.4,5166.0
5,19.0,2.0,10.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,452,8.4,3796.8
14,22.0,1.0,19.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,633,8.4,5317.2
9,18.0,3.0,20.0,1.0,0,1,Hyderabad,Reliance Energy,470,8.4,3948.0
19,23.0,1.0,14.0,1.0,0,1,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),536,8.4,4502.400000000000
5,17.0,1.0,4.0,7.0,0,1,Hyderabad,TransRail Lighting,409,8.4,3435.6000000000000
11,22.0,0.0,14.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,344,8.4,2889.6
8,19.0,0.0,5.0,7.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,344,8.4,2889.6
14,22.0,2.0,12.0,1.0,0,1,Hyderabad,NHPC,397,8.4,3334.8
14,23.0,0.0,17.0,12.0,0,1,Hyderabad,Sunil Hitech Eng,519,8.4,4359.6
13,23.0,3.0,4.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,519,8.4,4359.6
6,21.0,3.0,14.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,421,8.4,3536.4
15,22.0,0.0,4.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,421,8.4,3536.4
9,18.0,3.0,6.0,7.0,0,1,Hyderabad,Kalpataru Power,355,8.4,2982.0
22,23.0,2.0,16.0,1.0,0,1,Hyderabad,SJVN Ltd.,551,8.4,4628.400000000000
6,17.0,0.0,4.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,185,8.4,1554.0
16,23.0,2.0,11.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,500,8.4,4200.0
11,23.0,3.0,21.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,736,8.4,6182.400000000000
15,22.0,1.0,10.0,1.0,0,1,Hyderabad,Kalpataru Power,420,8.4,3528.0
6,20.0,0.0,5.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,420,8.4,3528.0
11,23.0,1.0,12.0,1.0,0,1,Hyderabad,Jaiprakash Power,502,8.4,4216.8
14,23.0,2.0,18.0,1.0,0,1,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),502,8.4,4216.8
19,23.0,0.0,5.0,1.0,0,1,Hyderabad,Reliance Power,502,8.4,4216.8
18,23.0,1.0,3.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,573,8.4,4813.2
5,22.0,2.0,10.0,1.0,0,1,Hyderabad,Jyoti Structure,573,8.4,4813.2
20,22.0,0.0,18.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,573,8.4,4813.2
5,18.0,2.0,4.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,337,8.4,2830.8
15,23.0,1.0,22.0,12.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,725,8.4,6090.0
21,23.0,3.0,19.0,12.0,0,1,Hyderabad,Tata Power Company Ltd.,720,8.4,6048.0
9,22.0,1.0,5.0,1.0,0,1,Hyderabad,Tata Power Company Ltd.,342,8.4,2872.8
7,17.0,0.0,17.0,1.0,0,1,Hyderabad,SJVN Ltd.,266,8.4,2234.4
14,23.0,1.0,15.0,1.0,0,1,Hyderabad,KEC International,449,8.4,3771.6000000000000
20,23.0,0.0,6.0,12.0,0,1,Hyderabad,JSW Energy Ltd.,449,8.4,3771.6000000000000
8,19.0,0.0,16.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,449,8.4,3771.6000000000000
7,17.0,1.0,6.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,282,8.4,2368.8
21,23.0,1.0,13.0,1.0,0,1,Hyderabad,Orient Green,641,8.4,5384.400000000000
22,23.0,3.0,17.0,1.0,0,1,Hyderabad,Adani Power Ltd.,641,8.4,5384.400000000000
9,21.0,0.0,14.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,490,8.4,4116.0
5,23.0,2.0,4.0,1.0,0,1,Hyderabad,NLC India,280,8.4,2352.0
20,22.0,3.0,3.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,467,8.4,3922.8
22,23.0,1.0,9.0,1.0,0,1,Hyderabad,GE T&D India Limited,565,8.4,4746.0
16,22.0,1.0,8.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,565,8.4,4746.0
21,23.0,0.0,19.0,12.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,653,8.4,5485.2
12,23.0,1.0,19.0,1.0,0,1,Hyderabad,L&T Transmission & Distribution,620,8.4,5208.0
23,22.0,1.0,22.0,12.0,0,1,Hyderabad,Tata Power Company Ltd.,851,8.4,7148.400000000000
15,22.0,2.0,8.0,1.0,0,1,Hyderabad,Reliance Energy,463,8.4,3889.2000000000000
11,23.0,2.0,6.0,1.0,0,1,Hyderabad,TransRail Lighting,485,8.4,4074.0
14,22.0,3.0,22.0,1.0,0,1,Hyderabad,Jaiprakash Power,563,8.4,4729.2
22,23.0,0.0,4.0,12.0,0,1,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),483,8.4,4057.2000000000000
18,22.0,1.0,9.0,1.0,0,1,Hyderabad,Jyoti Structure,483,8.4,4057.2000000000000
18,22.0,2.0,22.0,12.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,817,8.4,6862.8
21,23.0,3.0,3.0,1.0,0,1,Hyderabad,Kalpataru Power,583,8.4,4897.2
8,22.0,0.0,21.0,1.0,0,1,Hyderabad,NHPC,614,8.4,5157.6
9,19.0,1.0,5.0,1.0,0,1,Hyderabad,GE T&D India Limited,411,8.4,3452.4
7,18.0,1.0,11.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,411,8.4,3452.4
7,21.0,2.0,9.0,1.0,0,1,Hyderabad,Kalpataru Power,401,8.4,3368.4
5,21.0,0.0,9.0,1.0,0,1,Hyderabad,NTPC Pvt. Ltd.,275,8.4,2310.0
19,23.0,0.0,17.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,645,8.4,5418.0
14,23.0,3.0,18.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,645,8.4,5418.0
5,20.0,3.0,16.0,1.0,0,1,Hyderabad,GE T&D India Limited,410,8.4,3444.0
11,23.0,1.0,10.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",604,8.4,5073.6
11,23.0,0.0,20.0,12.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,604,8.4,5073.6
21,23.0,0.0,11.0,1.0,0,1,Hyderabad,Orient Green,454,8.4,3813.6000000000000
22,22.0,0.0,18.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",454,8.4,3813.6000000000000
13,23.0,1.0,14.0,1.0,0,1,Hyderabad,Indowind Energy,464,8.4,3897.6000000000000
6,19.0,0.0,12.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,464,8.4,3897.6000000000000
5,17.0,3.0,12.0,1.0,0,1,Hyderabad,Power Grid Corp,438,8.4,3679.2000000000000
16,23.0,0.0,8.0,1.0,0,1,Hyderabad,Jaiprakash Power,426,8.4,3578.4
20,22.0,0.0,5.0,1.0,0,1,Hyderabad,GE T&D India Limited,521,8.4,4376.400000000000
9,18.0,0.0,4.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,162,8.4,1360.8
13,22.0,0.0,15.0,12.0,0,1,Hyderabad,Indowind Energy,497,8.4,4174.8
22,23.0,2.0,18.0,1.0,0,1,Hyderabad,Jyoti Structure,597,8.4,5014.8
8,23.0,1.0,18.0,1.0,0,1,Hyderabad,L&T Transmission & Distribution,610,8.4,5124.0
23,22.0,2.0,19.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,610,8.4,5124.0
6,18.0,3.0,13.0,1.0,0,1,Hyderabad,Guj Ind Power,414,8.4,3477.6000000000000
5,22.0,3.0,3.0,7.0,0,1,Hyderabad,Optibelt Power Transmission India Private Limited,414,8.4,3477.6000000000000
12,22.0,3.0,10.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,451,8.4,3788.4
18,22.0,2.0,3.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,529,8.4,4443.6
17,23.0,2.0,16.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,734,8.4,6165.6
5,21.0,2.0,14.0,1.0,0,1,Hyderabad,Jyoti Structure,335,8.4,2814.0
21,23.0,2.0,5.0,1.0,0,1,Hyderabad,Reliance Power,629,8.4,5283.6
20,22.0,0.0,16.0,12.0,0,1,Hyderabad,NTPC Pvt. Ltd.,776,8.4,6518.400000000000
15,23.0,2.0,10.0,1.0,0,1,Hyderabad,Reliance Energy,445,8.4,3738.0
18,23.0,1.0,22.0,1.0,0,1,Hyderabad,Adani Power Ltd.,643,8.4,5401.2
16,22.0,2.0,3.0,1.0,0,1,Hyderabad,Kalpataru Power,504,8.4,4233.6
18,23.0,0.0,11.0,1.0,0,1,Hyderabad,Adani Power Ltd.,557,8.4,4678.8
15,23.0,0.0,20.0,12.0,0,1,Hyderabad,Orient Green,557,8.4,4678.8
12,23.0,3.0,10.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,557,8.4,4678.8
12,23.0,1.0,22.0,1.0,0,1,Hyderabad,Reliance Power,489,8.4,4107.6
18,22.0,3.0,17.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,743,8.4,6241.2
20,23.0,2.0,17.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,603,8.4,5065.2
19,23.0,0.0,7.0,1.0,0,1,Hyderabad,CESC,595,8.4,4998.0
6,22.0,2.0,17.0,1.0,0,1,Hyderabad,SJVN Ltd.,577,8.4,4846.8
7,18.0,0.0,21.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,390,8.4,3276.0
8,21.0,2.0,13.0,1.0,0,1,Hyderabad,Jyoti Structure,390,8.4,3276.0
21,22.0,0.0,17.0,12.0,0,1,Hyderabad,Kalpataru Power,774,8.4,6501.6
7,21.0,0.0,10.0,1.0,0,1,Hyderabad,Reliance Energy,431,8.4,3620.4
22,22.0,2.0,9.0,1.0,0,1,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,566,8.4,4754.400000000000
11,22.0,1.0,9.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,399,8.4,3351.6000000000000
10,17.0,1.0,13.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,399,8.4,3351.6000000000000
14,22.0,0.0,17.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,377,8.4,3166.8
11,23.0,3.0,6.0,1.0,0,1,Hyderabad,Adani Power Ltd.,389,8.4,3267.6000000000000
9,20.0,2.0,3.0,1.0,0,1,Hyderabad,Jyoti Structure,459,8.4,3855.6000000000000
11,22.0,2.0,6.0,1.0,0,1,Hyderabad,Optibelt Power Transmission India Private Limited,459,8.4,3855.6000000000000
14,23.0,0.0,16.0,1.0,0,1,Hyderabad,CESC,613,8.4,5149.2
12,22.0,0.0,7.0,1.0,0,1,Hyderabad,Reliance Power,418,8.4,3511.2000000000000
6,22.0,0.0,13.0,7.0,0,1,Hyderabad,Adani Power Ltd.,601,8.4,5048.400000000000
8,17.0,3.0,22.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,423,8.4,3553.2000000000000
9,23.0,2.0,8.0,1.0,0,1,Hyderabad,Jaiprakash Power,524,8.4,4401.6
20,23.0,1.0,13.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,481,8.4,4040.4
14,23.0,3.0,16.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,481,8.4,4040.4
5,21.0,0.0,7.0,1.0,0,1,Hyderabad,GE T&D India Limited,308,8.4,2587.2000000000000
9,19.0,1.0,19.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,544,8.4,4569.6
14,22.0,0.0,9.0,12.0,0,1,Hyderabad,GE T&D India Limited,544,8.4,4569.6
11,22.0,1.0,13.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,351,8.4,2948.4
20,22.0,1.0,9.0,1.0,0,1,Hyderabad,Reliance Power,506,8.4,4250.400000000000
21,23.0,1.0,22.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,617,8.4,5182.8
11,23.0,2.0,16.0,1.0,0,1,Hyderabad,Sunil Hitech Eng,623,8.4,5233.2
15,23.0,3.0,21.0,1.0,0,1,Hyderabad,Reliance Energy,666,8.4,5594.400000000000
6,22.0,1.0,7.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,419,8.4,3519.6000000000000
14,22.0,0.0,17.0,1.0,0,1,Hyderabad,Jyoti Structure,562,8.4,4720.8
21,22.0,3.0,7.0,1.0,0,1,Hyderabad,Jaiprakash Power,639,8.4,5367.6
5,18.0,0.0,18.0,1.0,0,1,Hyderabad,Optibelt Power Transmission India Private Limited,373,8.4,3133.2000000000000
11,22.0,3.0,6.0,1.0,0,1,Hyderabad,KEC International,373,8.4,3133.2000000000000
8,19.0,2.0,18.0,7.0,0,1,Hyderabad,Jaiprakash Power,509,8.4,4275.6
5,17.0,2.0,3.0,1.0,0,1,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,297,8.4,2494.8
19,22.0,0.0,17.0,1.0,0,1,Hyderabad,Power Grid Corp,515,8.4,4326.0
9,21.0,2.0,21.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,634,8.4,5325.6
11,22.0,3.0,6.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",424,8.4,3561.6000000000000
10,20.0,1.0,18.0,1.0,0,1,Hyderabad,Optibelt Power Transmission India Private Limited,458,8.4,3847.2000000000000
20,23.0,3.0,13.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,520,8.4,4368.0
13,23.0,0.0,16.0,1.0,0,1,Hyderabad,Sterlite Power Transmission Ltd,555,8.4,4662.0
20,23.0,0.0,17.0,1.0,0,1,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,580,8.4,4872.0
22,23.0,1.0,17.0,1.0,0,1,Hyderabad,Power Grid Corp,651,8.4,5468.400000000000
17,23.0,3.0,19.0,12.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,757,8.4,6358.8
9,21.0,1.0,9.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",362,8.4,3040.8
11,22.0,1.0,22.0,12.0,0,1,Hyderabad,Kalpataru Power,711,8.4,5972.400000000000
20,22.0,2.0,14.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,446,8.4,3746.4
6,17.0,3.0,7.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",446,8.4,3746.4
12,23.0,0.0,5.0,12.0,0,1,Hyderabad,Tata Power Company Ltd.,379,8.4,3183.6
23,23.0,2.0,10.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,618,8.4,5191.2
21,22.0,2.0,21.0,12.0,0,1,Hyderabad,L&T Transmission & Distribution,845,8.4,7098.0
5,23.0,3.0,20.0,1.0,0,1,Hyderabad,Torrent Power Ltd.,486,8.4,4082.4
7,20.0,3.0,22.0,1.0,0,1,Hyderabad,TransRail Lighting,537,8.4,4510.8
21,23.0,2.0,17.0,1.0,0,1,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,626,8.4,5258.400000000000
13,23.0,0.0,15.0,1.0,0,1,Hyderabad,Guj Ind Power,535,8.4,4494.0
17,22.0,0.0,11.0,1.0,0,1,Hyderabad,Unitech Power Transmission Ltd.,341,8.4,2864.4
11,23.0,3.0,3.0,1.0,0,1,Hyderabad,JSW Energy Ltd.,404,8.4,3393.6000000000000
19,23.0,1.0,12.0,1.0,0,1,Hyderabad,Power Grid Corp,441,8.4,3704.4
14,22.0,1.0,18.0,1.0,0,1,Hyderabad,Reliance Power,644,8.4,5409.6
15,23.0,2.0,4.0,1.0,0,1,Hyderabad,KEC International,559,8.4,4695.6
15,22.0,3.0,8.0,1.0,0,1,Hyderabad,KEC International,468,8.4,3931.2000000000000
9,17.0,1.0,8.0,1.0,0,1,Hyderabad,NTPC Pvt. Ltd.,286,8.4,2402.4
18,22.0,2.0,13.0,12.0,0,1,Hyderabad,Torrent Power Ltd.,690,8.4,5796.0
23,22.0,1.0,3.0,1.0,0,1,Hyderabad,KEC International,395,8.4,3318.0
12,23.0,3.0,14.0,12.0,0,1,Nagpur,Orient Green,553,8.9,4921.7
21,23.0,2.0,3.0,1.0,0,1,Nagpur,NHPC,528,8.9,4699.2
13,23.0,2.0,6.0,1.0,0,1,Nagpur,NLC India,616,8.9,5482.400000000000
10,17.0,0.0,15.0,7.0,0,1,Nagpur,GE T&D India Limited,380,8.9,3382.0
18,23.0,2.0,3.0,1.0,0,1,Nagpur,Adani Power Ltd.,532,8.9,4734.8
5,22.0,3.0,18.0,1.0,0,1,Nagpur,Reliance Power,486,8.9,4325.400000000000
16,23.0,0.0,9.0,12.0,0,1,Nagpur,Unitech Power Transmission Ltd.,672,8.9,5980.8
12,23.0,2.0,11.0,1.0,0,1,Nagpur,Jaiprakash Power,588,8.9,5233.2
17,23.0,2.0,13.0,12.0,0,1,Nagpur,Reliance Energy,552,8.9,4912.8
15,23.0,2.0,7.0,1.0,0,1,Nagpur,NTPC Pvt. Ltd.,389,8.9,3462.1000000000000
21,22.0,0.0,3.0,1.0,0,1,Nagpur,SJVN Ltd.,389,8.9,3462.1000000000000
11,23.0,3.0,20.0,1.0,0,1,Nagpur,Unitech Power Transmission Ltd.,648,8.9,5767.2
21,22.0,2.0,12.0,1.0,0,1,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,700,8.9,6230.0
13,23.0,0.0,6.0,12.0,0,1,Nagpur,NLC India,612,8.9,5446.8
15,23.0,3.0,8.0,12.0,0,1,Nagpur,Torrent Power Ltd.,554,8.9,4930.6
5,22.0,2.0,19.0,1.0,0,1,Nagpur,Power Grid Corp,651,8.9,5793.900000000000
13,22.0,0.0,10.0,12.0,0,1,Nagpur,SJVN Ltd.,449,8.9,3996.1000000000000
14,22.0,1.0,18.0,1.0,0,1,Nagpur,CESC,449,8.9,3996.1000000000000
11,22.0,0.0,4.0,12.0,0,1,Nagpur,NLC India,596,8.9,5304.400000000000
21,23.0,0.0,12.0,1.0,0,1,Nagpur,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,463,8.9,4120.7
13,23.0,2.0,11.0,1.0,0,1,Nagpur,NLC India,396,8.9,3524.4
9,19.0,2.0,10.0,1.0,0,1,Nagpur,Neueon Towers / Sujana Towers Ltd.,431,8.9,3835.9
